笔记ID,笔记标题,发布时间,文字内容,内容分类,赞数,评论数,收藏数,分享数,总互动,变现额(元),变现方式,制作成本(小时)
note_0051,关于生活分享的65个思考,2023-11-30,这是一篇关于生活分享的分享内容...,生活分享,2537,477,952,214,4180,0,无,0.5
note_0052,关于AI讨论的23个思考,2023-08-16,这是一篇关于AI讨论的分享内容...,AI讨论,8984,1598,1789,875,13246,996,课程,4.5
note_0053,关于AI讨论的32个思考,2023-04-29,这是一篇关于AI讨论的分享内容...,AI讨论,7103,1326,3062,706,12197,40,课程,3.7
note_0054,关于AI讨论的8个思考,2023-02-26,这是一篇关于AI讨论的分享内容...,AI讨论,8160,1180,1609,199,11148,1534,课程,2.8
note_0055,关于电音文化的80个思考,2023-01-31,这是一篇关于电音文化的分享内容...,电音文化,3392,439,910,269,5010,0,无,1.3
note_0056,关于投资思维的28个思考,2023-10-25,这是一篇关于投资思维的分享内容...,投资思维,4982,319,544,285,6130,10947,课程,4.7
note_0057,关于生活分享的68个思考,2023-04-18,这是一篇关于生活分享的分享内容...,生活分享,3714,589,1074,205,5582,0,无,1.4
note_0058,关于生活分享的83个思考,2023-01-23,这是一篇关于生活分享的分享内容...,生活分享,3994,431,443,112,4980,0,无,0.6
note_0059,关于感情观点的25个思考,2023-01-27,这是一篇关于感情观点的分享内容...,感情观点,17117,2169,1856,1486,22628,4095,课程,1.0
note_0060,关于投资思维的27个思考,2023-11-01,这是一篇关于投资思维的分享内容...,投资思维,13638,808,5971,1276,21693,13540,课程,3.1
note_0061,关于感情观点的96个思考,2023-10-09,这是一篇关于感情观点的分享内容...,感情观点,10716,1544,3948,851,17059,1198,课程,1.6
note_0062,关于投资思维的17个思考,2023-08-16,这是一篇关于投资思维的分享内容...,投资思维,5960,330,2959,114,9363,8618,课程,3.4
note_0063,关于电音文化的21个思考,2023-01-08,这是一篇关于电音文化的分享内容...,电音文化,4694,919,1163,119,6895,0,无,1.6
note_0064,关于投资思维的47个思考,2023-07-02,这是一篇关于投资思维的分享内容...,投资思维,7291,487,3601,563,11942,14793,课程,3.9
note_0065,关于电音文化的63个思考,2023-12-18,这是一篇关于电音文化的分享内容...,电音文化,2100,235,219,128,2682,0,无,0.9
note_0066,关于AI讨论的31个思考,2023-03-03,这是一篇关于AI讨论的分享内容...,AI讨论,4293,653,1277,239,6462,801,课程,4.7
note_0067,关于电音文化的11个思考,2023-01-11,这是一篇关于电音文化的分享内容...,电音文化,2561,394,441,120,3516,0,无,1.2
note_0068,关于电音文化的74个思考,2023-05-10,这是一篇关于电音文化的分享内容...,电音文化,1407,86,609,16,2118,0,无,1.8
note_0069,关于投资思维的38个思考,2023-11-30,这是一篇关于投资思维的分享内容...,投资思维,13081,1585,3008,1036,18710,13173,课程,3.6
note_0070,关于投资思维的7个思考,2023-10-27,这是一篇关于投资思维的分享内容...,投资思维,4247,258,1963,111,6579,7432,课程,4.0
note_0071,关于电音文化的59个思考,2023-03-03,这是一篇关于电音文化的分享内容...,电音文化,72,6,21,5,104,0,无,0.9
note_0072,关于电音文化的16个思考,2023-01-14,这是一篇关于电音文化的分享内容...,电音文化,3414,623,758,211,5006,0,无,1.7
note_0073,关于感情观点的26个思考,2023-01-07,这是一篇关于感情观点的分享内容...,感情观点,11815,1454,3389,304,16962,4516,课程,2.3
note_0074,关于AI讨论的36个思考,2023-04-06,这是一篇关于AI讨论的分享内容...,AI讨论,4396,508,1340,253,6497,1244,课程,2.6
note_0075,关于感情观点的91个思考,2023-11-26,这是一篇关于感情观点的分享内容...,感情观点,1587,117,666,62,2432,4030,课程,1.3
note_0076,关于生活分享的13个思考,2023-01-01,这是一篇关于生活分享的分享内容...,生活分享,4854,665,1473,101,7093,0,无,1.0
note_0077,关于电音文化的39个思考,2023-03-31,这是一篇关于电音文化的分享内容...,电音文化,2131,261,679,205,3276,0,无,0.6
note_0078,关于感情观点的45个思考,2023-08-01,这是一篇关于感情观点的分享内容...,感情观点,19592,2260,9786,1244,32882,3223,课程,1.2
note_0079,关于感情观点的5个思考,2023-02-24,这是一篇关于感情观点的分享内容...,感情观点,1386,240,312,20,1958,3055,课程,2.6
note_0080,关于电音文化的14个思考,2023-04-28,这是一篇关于电音文化的分享内容...,电音文化,145,13,45,13,216,0,无,1.5
note_0081,关于感情观点的45个思考,2023-11-06,这是一篇关于感情观点的分享内容...,感情观点,19466,3623,8678,1262,33029,2753,课程,2.3
note_0082,关于感情观点的85个思考,2023-02-13,这是一篇关于感情观点的分享内容...,感情观点,2729,365,333,189,3616,356,课程,2.6
note_0083,关于AI讨论的44个思考,2023-11-07,这是一篇关于AI讨论的分享内容...,AI讨论,5287,1034,834,276,7431,490,课程,4.9
note_0084,关于AI讨论的97个思考,2023-09-23,这是一篇关于AI讨论的分享内容...,AI讨论,3086,537,788,125,4536,548,课程,4.6
note_0085,关于投资思维的52个思考,2023-06-19,这是一篇关于投资思维的分享内容...,投资思维,7034,1385,1785,470,10674,7010,课程,3.8
note_0086,关于电音文化的45个思考,2023-08-18,这是一篇关于电音文化的分享内容...,电音文化,1249,213,273,74,1809,0,无,1.1
note_0087,关于投资思维的51个思考,2023-10-09,这是一篇关于投资思维的分享内容...,投资思维,14881,1378,1939,1178,19376,8442,课程,4.1
note_0088,关于AI讨论的15个思考,2023-10-13,这是一篇关于AI讨论的分享内容...,AI讨论,2404,467,1144,87,4102,527,课程,2.0
note_0089,关于电音文化的11个思考,2023-03-04,这是一篇关于电音文化的分享内容...,电音文化,3323,546,439,68,4376,0,无,1.7
note_0090,关于感情观点的35个思考,2023-02-24,这是一篇关于感情观点的分享内容...,感情观点,5998,652,1892,371,8913,1902,课程,1.3
note_0091,关于生活分享的8个思考,2023-11-20,这是一篇关于生活分享的分享内容...,生活分享,3981,433,831,343,5588,0,无,1.9
note_0092,关于投资思维的68个思考,2023-01-02,这是一篇关于投资思维的分享内容...,投资思维,6764,918,2864,208,10754,12908,课程,3.8
note_0093,关于生活分享的65个思考,2023-06-01,这是一篇关于生活分享的分享内容...,生活分享,3453,638,1355,180,5626,0,无,1.6
note_0094,关于投资思维的16个思考,2023-05-27,这是一篇关于投资思维的分享内容...,投资思维,12382,914,2370,496,16162,6386,课程,3.5
note_0095,关于投资思维的89个思考,2023-11-24,这是一篇关于投资思维的分享内容...,投资思维,12945,1539,1638,1066,17188,13637,课程,3.8
note_0096,关于AI讨论的13个思考,2023-06-08,这是一篇关于AI讨论的分享内容...,AI讨论,4193,741,748,240,5922,1186,课程,2.1
note_0097,关于投资思维的91个思考,2023-06-22,这是一篇关于投资思维的分享内容...,投资思维,6312,977,1055,556,8900,10093,课程,4.2
note_0098,关于AI讨论的55个思考,2023-08-24,这是一篇关于AI讨论的分享内容...,AI讨论,3531,256,542,342,4671,1371,课程,2.1
note_0099,关于投资思维的60个思考,2023-04-20,这是一篇关于投资思维的分享内容...,投资思维,8653,1063,3369,517,13602,8763,课程,5.6
note_0100,关于投资思维的81个思考,2023-12-29,这是一篇关于投资思维的分享内容...,投资思维,7165,446,2654,378,10643,6672,课程,4.7
